                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.00554,                0.05344,                0.34351,                 2.6994,             0.00028282,             0.00028282,             0.00028282
                     64,                0.00207,                0.05344,                0.33588,                 2.7027,             0.00027575,             0.00027575,             0.00027575
                     65,                0.00232,                 0.0687,                0.32061,                 2.6939,             0.00026868,             0.00026868,             0.00026868
                     66,                0.00173,                0.06107,                0.33588,                 2.6421,             0.00026161,             0.00026161,             0.00026161
                     67,                0.00088,                0.05344,                0.31298,                 2.6961,             0.00025454,             0.00025454,             0.00025454
                     68,                0.00333,                0.05344,                0.31298,                 2.6791,             0.00024747,             0.00024747,             0.00024747
                     69,                 0.0015,                0.05344,                0.31298,                 2.6992,              0.0002404,              0.0002404,              0.0002404
                     70,                0.00166,                0.06107,                0.33588,                 2.6963,             0.00023334,             0.00023334,             0.00023334
                     71,                0.00113,                0.05344,                0.34351,                  2.637,             0.00022627,             0.00022627,             0.00022627
                     72,                0.00102,                0.06107,                0.33588,                 2.6603,              0.0002192,              0.0002192,              0.0002192
                     73,                 0.0007,                 0.0687,                0.34351,                 2.6932,             0.00021213,             0.00021213,             0.00021213
                     74,                0.00053,                0.06107,                0.34351,                 2.6905,             0.00020506,             0.00020506,             0.00020506
                     75,                0.00022,                0.05344,                0.31298,                 2.6991,             0.00019799,             0.00019799,             0.00019799
                     76,                0.00069,                0.06107,                0.30534,                 2.6373,             0.00019092,             0.00019092,             0.00019092
                     77,                0.00055,                0.05344,                0.32061,                 2.6429,             0.00018385,             0.00018385,             0.00018385
                     78,                0.00053,                 0.0687,                0.34351,                 2.6226,             0.00017679,             0.00017679,             0.00017679
                     79,                0.00163,                0.06107,                0.35115,                 2.6975,             0.00016972,             0.00016972,             0.00016972
                     80,                0.00332,                0.06107,                0.31298,                 2.6979,             0.00016265,             0.00016265,             0.00016265
                     81,                0.00077,                0.05344,                0.32824,                 2.6978,             0.00015558,             0.00015558,             0.00015558
                     82,                0.00053,                0.06107,                0.31298,                 2.7001,             0.00014851,             0.00014851,             0.00014851
                     83,                0.00057,                0.06107,                0.31298,                 2.6985,             0.00014144,             0.00014144,             0.00014144
                     84,                0.00113,                0.05344,                0.29771,                 2.6899,             0.00013437,             0.00013437,             0.00013437
                     85,                0.00074,                0.06107,                0.28244,                 2.6958,             0.00012731,             0.00012731,             0.00012731
                     86,                0.00148,                0.06107,                0.30534,                  2.696,             0.00012024,             0.00012024,             0.00012024
