                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9526,                 3.5777,                 1.7808,                0.01238,                0.18705,                0.08727,                0.04978,                 1.4841,                 3.3381,                 1.3812,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.4466,                 2.8956,                 1.4295,                0.01762,                0.26619,                0.20301,                0.12562,                 1.4192,                 3.1639,                 1.2526,             0.00013723,             0.00013723,             0.00013723
                      3,                 1.5127,                 3.9984,                 1.4196,                 0.0219,                0.33094,                0.27214,                0.16151,                  1.498,                 3.0556,                 1.2452,             0.00021129,             0.00021129,             0.00021129
                      4,                 1.6334,                 1.7431,                 1.3798,                0.80927,                0.27475,                0.32839,                0.19113,                 1.5892,                  2.928,                 1.2428,             0.00028218,             0.00028218,             0.00028218
                      5,                 1.5112,                 1.5485,                 1.2324,                   0.03,                0.45324,                0.36363,                0.23523,                 1.5516,                 2.8052,                  1.201,              0.0003499,              0.0003499,              0.0003499
                      6,                 1.6049,                 1.5965,                  1.345,                0.02952,                0.44604,                0.37987,                0.24425,                 1.5414,                 2.7953,                 1.2018,             0.00041446,             0.00041446,             0.00041446
                      7,                 1.6492,                   1.46,                 1.3112,                0.02571,                0.38849,                0.34224,                0.20784,                 1.5473,                 2.9255,                 1.2396,             0.00047585,             0.00047585,             0.00047585
                      8,                 1.5413,                 1.7651,                 1.3366,                0.02286,                0.34532,                0.27582,                 0.1797,                 1.5922,                 3.0045,                 1.2848,             0.00053407,             0.00053407,             0.00053407
                      9,                 1.2914,                 2.1034,                 1.3136,                0.02429,                0.36691,                0.30247,                0.19254,                 1.6114,                 2.9575,                 1.3014,             0.00058912,             0.00058912,             0.00058912
                     10,                 1.6211,                  1.521,                 1.2642,                0.75247,                0.26248,                0.36876,                0.22591,                 1.6558,                 2.7883,                 1.2952,               0.000641,               0.000641,               0.000641
                     11,                 1.6118,                 2.0117,                 1.4519,                0.72998,                0.31121,                 0.4093,                0.24065,                 1.6279,                  2.693,                 1.2671,             0.00068972,             0.00068972,             0.00068972
                     12,                  1.332,                 2.6069,                 1.2191,                0.72424,                0.34013,                0.42398,                0.24369,                 1.6338,                 2.6756,                 1.2627,             0.00073527,             0.00073527,             0.00073527
                     13,                 1.3463,                 2.3283,                 1.4453,                0.76534,                0.28159,                0.43575,                0.25285,                 1.6631,                 2.6657,                 1.2535,             0.00077765,             0.00077765,             0.00077765
                     14,                 1.5482,                 1.6741,                 1.3642,                0.95118,                0.14026,                0.47614,                0.28233,                 1.6723,                 2.5857,                 1.2565,             0.00081686,             0.00081686,             0.00081686
                     15,                 1.6084,                 1.4239,                 1.2966,                0.91811,                0.24202,                0.54941,                0.31688,                 1.6858,                  2.434,                 1.2744,              0.0008529,              0.0008529,              0.0008529
                     16,                 1.3701,                 1.4419,                 1.2838,                0.91811,                0.24202,                0.54941,                0.31688,                 1.6858,                  2.434,                 1.2744,             0.00088578,             0.00088578,             0.00088578
                     17,                 1.5469,                 1.2787,                 1.2798,                0.91296,                0.45275,                0.62364,                0.33202,                 1.6921,                 2.1741,                 1.3102,             0.00091549,             0.00091549,             0.00091549
                     18,                 1.6456,                 1.7551,                 1.3726,                0.83641,                0.51496,                0.60741,                0.33003,                 1.7232,                 2.1244,                 1.3304,             0.00094203,             0.00094203,             0.00094203
                     19,                 1.5521,                 5.4726,                 1.6831,                0.84446,                0.50777,                0.60507,                0.33021,                 1.7232,                 2.1244,                 1.3304,              0.0009654,              0.0009654,              0.0009654
                     20,                 1.6126,                 1.3153,                 1.3679,                0.84817,                0.51799,                0.60922,                0.32651,                 1.7539,                 2.1094,                 1.3553,              0.0009856,              0.0009856,              0.0009856
                     21,                 1.5243,                 4.9169,                 1.6061,                0.80525,                0.41007,                0.50579,                0.26297,                 1.8174,                 2.3293,                 1.3773,              0.0010026,              0.0010026,              0.0010026
                     22,                 1.5889,                 1.4255,                 1.3271,                0.80525,                0.41007,                0.50579,                0.26297,                 1.8174,                 2.3293,                 1.3773,              0.0010165,              0.0010165,              0.0010165
                     23,                 1.5526,                 1.9657,                 1.3174,                0.75715,                0.29162,                0.41488,                 0.2226,                 1.7396,                    2.5,                 1.3391,              0.0010272,              0.0010272,              0.0010272
                     24,                 1.5491,                  1.579,                 1.3826,                0.75715,                0.29162,                0.41488,                 0.2226,                 1.7396,                    2.5,                 1.3391,              0.0010347,              0.0010347,              0.0010347
                     25,                 1.4965,                   1.69,                 1.3274,                0.80119,                0.43492,                0.57687,                0.29611,                 1.6838,                 2.1805,                 1.2793,              0.0010391,              0.0010391,              0.0010391
                     26,                 1.7648,                  2.118,                 1.4317,                0.80119,                0.43492,                0.57687,                0.29611,                 1.6838,                 2.1805,                 1.2793,                0.00101,                0.00101,                0.00101
                     27,                 1.3527,                 1.3151,                 1.1755,                0.79102,                0.56115,                0.64524,                0.34934,                 1.6814,                 1.7871,                 1.2969,                0.00101,                0.00101,                0.00101
                     28,                 1.5028,                 1.4068,                 1.3013,                0.79102,                0.56115,                0.64524,                0.34934,                 1.6814,                 1.7871,                 1.2969,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.4176,                 1.3089,                 1.2228,                0.66968,                0.61259,                 0.6421,                0.32991,                  1.717,                 1.6251,                 1.3106,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.5456,                 1.3414,                 1.2761,                0.66968,                0.61259,                 0.6421,                0.32991,                  1.717,                 1.6251,                 1.3106,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.4475,                  1.488,                 1.3695,                0.74455,                0.55396,                0.62936,                0.34922,                 1.7002,                 1.5836,                  1.327,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.4769,                 1.2835,                 1.2897,                0.74455,                0.55396,                0.62936,                0.34922,                 1.7002,                 1.5836,                  1.327,               0.000812,               0.000812,               0.000812
                     33,                 1.4167,                  1.779,                 1.2178,                0.81957,                0.52518,                0.64396,                0.34511,                 1.6992,                 1.5793,                  1.343,              0.0007724,              0.0007724,              0.0007724
                     34,                 1.5862,                 1.2331,                 1.2936,                 0.7914,                0.55396,                0.66341,                0.35652,                 1.6992,                 1.5793,                  1.343,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.5609,                 1.5947,                  1.514,                0.73222,                0.51799,                0.59938,                0.33021,                 1.6874,                 1.6361,                 1.3147,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.1531,                 1.6648,                 1.1959,                0.74613,                0.51799,                0.61784,                 0.3423,                 1.6874,                 1.6361,                 1.3147,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.5884,                 1.2868,                 1.3307,                  0.743,                0.56158,                0.65386,                0.36384,                 1.7183,                 1.5632,                 1.3166,               0.000614,               0.000614,               0.000614
                     38,                 1.9679,                 5.7713,                 1.6256,                0.77426,                0.55396,                0.66149,                0.37002,                 1.7183,                 1.5632,                 1.3166,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.5463,                 1.4131,                 1.3367,                 0.7894,                0.56115,                0.68348,                0.36992,                 1.7434,                 1.5564,                 1.3147,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.3106,                  2.363,                 1.4812,                0.77288,                0.56115,                0.67099,                0.36174,                 1.7434,                 1.5564,                 1.3147,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.4056,                 2.7637,                 1.6857,                0.79236,                0.58273,                0.69667,                0.37174,                 1.7408,                  1.563,                 1.3056,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.4079,                 1.5958,                 1.3016,                0.79236,                0.58273,                0.69667,                0.37174,                 1.7408,                  1.563,                 1.3056,               0.000416,               0.000416,               0.000416
                     43,                 2.0989,                 4.3108,                  1.869,                0.74203,                0.60012,                0.68936,                0.36658,                 1.7483,                 1.6003,                 1.3081,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.3284,                 1.5993,                   1.28,                0.74203,                0.60012,                0.68936,                0.36658,                 1.7483,                 1.6003,                 1.3081,              0.0003368,              0.0003368,              0.0003368
                     45,                    1.4,                 2.3987,                 1.1746,                0.78224,                0.64609,                0.73044,                0.37807,                 1.7391,                 1.5592,                 1.3008,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.4233,                 2.9719,                 1.5536,                0.78224,                0.64609,                0.73044,                0.37807,                 1.7391,                 1.5592,                 1.3008,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.4083,                 3.3266,                 1.5409,                0.78977,                0.64865,                0.75002,                0.39554,                 1.7236,                 1.4263,                 1.2898,               0.000218,               0.000218,               0.000218
                     48,                  1.475,                 1.9763,                 1.3411,                0.79494,                0.64146,                0.74798,                0.39574,                 1.7236,                 1.4263,                 1.2898,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.5041,                 1.4727,                 1.2174,                0.83274,                0.64475,                0.75297,                0.40176,                 1.7023,                 1.3482,                 1.2782,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.2437,                 2.6197,                 1.2226,                0.83274,                0.64475,                0.75297,                0.40176,                 1.7023,                 1.3482,                 1.2782,               9.92e-05,               9.92e-05,               9.92e-05
